idx,attr_a,attr_b,attr_c
164,3,c,yes
165,5,d,no
166,4,b,yes
167,1,b,no
168,1,d,no
169,4,b,no
170,1,a,yes
171,1,b,yes
172,1,c,yes
173,1,d,yes
174,1,b,yes
175,1,c,no
176,1,c,yes
177,4,c,yes
178,1,c,no
179,1,d,no
180,5,b,yes
181,1,d,yes
182,1,d,no
183,1,c,no
184,1,c,no
185,5,a,yes
186,1,d,yes
187,5,d,yes
188,4,d,no
189,1,d,no
190,2,d,no
191,1,c,yes
192,1,b,yes
193,3,b,yes
194,3,d,no
195,1,b,yes
196,5,d,yes
197,3,d,no
198,1,c,no
199,5,b,yes
200,5,b,yes
201,4,c,yes
202,1,d,no
203,5,d,yes
204,1,a,yes
205,5,b,yes
206,5,a,yes
207,4,b,yes
208,2,d,no
209,1,b,no
210,1,c,yes
211,1,d,no
212,1,b,yes
213,1,d,yes
214,1,b,yes
215,5,c,yes
216,2,d,no
217,1,d,no
218,1,c,yes
219,4,b,no
220,1,c,yes
221,3,c,yes
222,1,c,yes
223,1,b,yes
224,3,d,yes
225,4,d,yes
226,1,d,yes
227,4,a,no
228,4,c,yes
229,3,c,yes
230,1,c,no
231,3,d,yes
232,1,c,yes
233,1,b,no
234,1,b,yes
235,3,c,no
236,4,c,yes
237,1,b,yes
238,5,d,yes
239,1,d,yes
240,2,d,yes
241,2,a,yes
242,1,c,yes
243,1,d,no
244,1,d,no
245,5,d,no
246,3,c,yes
247,1,a,yes
248,3,c,yes
249,5,d,yes
250,1,c,yes
251,2,c,yes
252,1,b,yes
253,1,c,yes
254,1,a,yes
255,5,c,yes
256,4,c,yes
257,1,b,yes
258,5,d,no
259,4,c,no
260,5,d,no
261,4,c,yes
262,5,c,yes
263,5,d,yes
264,5,d,no
265,1,d,no
266,1,b,yes
267,3,d,yes
268,3,c,no
269,1,d,no
270,1,a,yes
271,1,b,yes
272,1,c,yes
273,1,d,yes
274,4,a,no
275,3,a,yes
276,4,c,yes
277,1,d,no
278,1,d,no
279,1,c,yes
280,1,d,yes
281,1,d,yes
282,1,c,yes
283,5,c,no
284,1,d,yes
285,2,c,no
286,1,b,yes
287,4,a,yes
288,1,c,no
289,1,b,yes
290,5,c,yes
291,1,c,yes
292,5,d,yes
293,5,a,yes
294,2,c,no
295,1,d,yes
296,1,d,no
297,2,d,yes
298,1,b,yes
299,1,b,yes
300,1,d,yes
301,1,c,yes
302,1,d,yes
303,1,c,yes
304,1,c,no
305,5,c,no
306,4,c,yes
307,1,a,yes
308,1,d,yes
309,1,c,yes
310,4,d,no
311,1,b,yes
312,1,c,yes
313,1,b,yes
314,1,a,no
315,1,c,no
316,4,a,no
317,1,b,yes
318,4,b,no
319,1,c,yes
320,2,d,no
321,3,b,no
322,1,d,yes
323,1,c,yes
324,1,c,no
325,5,b,yes
326,4,a,no
327,1,c,yes
328,5,c,no
329,3,c,yes
330,2,c,no
331,2,b,yes
332,5,d,no
333,5,d,yes
334,1,c,yes
335,5,c,yes
336,5,a,no
337,3,c,yes
338,5,a,yes
339,2,d,yes
340,5,a,yes
341,1,c,yes
342,4,c,yes
343,1,c,yes
344,1,d,yes
345,4,c,yes
346,1,c,no
347,4,d,yes
348,1,d,yes
349,1,d,yes
350,1,a,no
351,1,d,yes
352,1,d,yes
353,1,c,yes
354,5,d,yes
355,3,b,yes
356,1,d,no
357,1,b,no
358,1,c,yes
359,1,d,yes
360,2,b,yes
361,1,b,no
362,1,d,yes
363,1,d,yes
364,1,d,yes
365,1,c,no
366,2,d,no
367,1,c,no
368,3,d,yes
369,1,d,no
370,5,a,yes
371,1,d,yes
372,3,c,no
373,1,d,yes
374,1,c,no
375,2,d,no
376,4,a,yes
377,5,b,yes
378,5,c,yes
379,1,c,yes
380,4,d,yes
381,1,c,yes
382,3,c,yes
383,5,a,yes
384,4,c,yes
385,1,d,yes
386,5,b,yes
387,1,c,yes
388,1,b,yes
389,5,d,yes
390,3,d,yes
391,4,c,no
392,1,d,yes
393,1,c,yes
394,5,d,yes
395,1,d,yes
396,5,c,yes
397,3,c,no
398,5,c,no
399,3,d,yes
400,1,d,yes
401,4,b,no
402,4,b,no
403,1,b,no
404,1,c,yes
405,3,c,yes
406,1,d,yes
407,1,d,yes
408,2,d,yes
409,2,b,yes
410,1,c,no
411,1,c,yes
412,1,d,no
413,1,d,no
414,4,b,yes
415,1,b,yes
416,1,c,no
417,4,d,yes
418,3,d,yes
419,5,c,yes
420,5,c,yes
421,5,c,yes
422,2,d,yes
423,5,c,yes
424,3,c,yes
425,5,a,no
426,1,d,yes
427,4,d,yes
428,1,c,yes
429,4,a,no
430,1,c,no
431,3,d,yes
432,1,d,yes
433,3,d,no
434,1,d,yes
435,1,a,yes
436,1,d,yes
437,4,b,yes
438,1,c,yes
439,1,b,yes
440,3,a,no
441,1,c,yes
442,5,d,yes
443,1,d,no
444,3,d,yes
445,1,d,yes
446,4,c,yes
447,5,b,yes
448,1,b,yes
449,4,c,yes
450,1,d,yes
451,1,b,yes
452,4,a,no
453,1,a,yes
454,3,d,no
455,5,b,no
456,5,c,yes
457,1,b,yes
458,1,a,no
459,1,d,yes
460,5,d,no
461,1,c,yes
462,5,d,yes
463,1,a,yes
464,5,c,yes
465,1,c,no
466,5,c,yes
467,1,b,yes
468,1,c,yes
469,1,d,yes
470,1,d,no
471,1,b,yes
472,5,c,yes
473,4,d,yes
474,1,d,yes
475,1,d,yes
476,2,d,yes
477,2,d,yes
478,4,d,yes
479,5,d,yes
480,5,c,yes
481,5,b,yes
482,3,c,yes
483,1,c,no
484,1,c,yes
485,1,c,yes
486,1,b,no
487,1,d,yes
488,1,c,yes
489,5,a,yes
490,1,c,yes
491,5,d,yes
492,3,d,yes
493,1,c,yes
494,4,c,no
495,1,b,yes
496,1,c,yes
497,5,d,yes
498,1,c,yes
499,1,a,yes
500,4,b,yes
501,2,b,no
502,1,c,yes
503,4,d,yes
504,3,c,yes
505,1,a,yes
506,1,d,no
507,1,b,yes
508,5,d,yes
509,4,d,no
510,4,d,no
511,1,c,yes
512,3,d,no
513,3,c,no
514,5,c,yes
515,1,a,yes
516,5,d,yes
517,1,b,no
518,2,c,yes
519,2,c,yes
520,4,c,yes
521,1,b,no
522,1,d,yes
523,5,b,yes
524,1,c,yes
525,5,c,no
526,1,d,yes
527,5,b,yes
528,1,d,yes
529,5,d,yes
530,1,d,yes
531,1,b,no
532,3,b,yes
533,3,d,no
534,5,d,no
535,4,d,yes
536,1,d,no
537,1,b,yes
538,1,d,yes
539,3,c,yes
540,5,d,no
541,1,b,yes
542,1,b,yes
543,1,b,yes
544,3,d,no
545,1,c,yes
546,5,a,yes
547,2,c,yes
548,3,c,yes
549,2,d,no
550,5,d,no
551,5,d,yes
552,5,c,yes
553,4,d,no
554,4,c,yes
555,1,c,yes
556,4,d,yes
557,5,d,no
558,4,b,no
559,1,d,no
560,5,d,no
561,4,d,yes
562,1,c,yes
563,1,d,yes
564,4,d,yes
565,5,b,yes
566,1,c,yes
567,1,c,no
568,1,c,yes
569,1,d,yes
570,1,d,no
571,2,b,no
572,2,c,yes
573,1,c,yes
574,5,d,yes
575,1,a,no
576,2,d,yes
577,1,c,yes
578,5,b,no
579,1,c,no
580,1,a,yes
581,1,d,no
582,3,b,yes
583,3,a,yes
584,1,d,yes
585,2,c,no
586,1,d,yes
587,4,c,no
588,1,d,yes
589,3,d,no
590,1,b,no
591,5,a,yes
592,5,d,yes
593,1,b,no
594,5,d,no
595,3,b,yes
596,1,d,yes
597,1,d,yes
598,1,b,no
599,3,c,no
600,3,d,no
601,1,d,yes
602,5,b,yes
603,1,d,yes
604,5,c,no
605,5,b,yes
606,1,d,no
607,5,c,yes
608,1,c,yes
609,5,b,yes
610,1,c,no
611,1,c,no
612,1,a,no
613,1,c,yes
614,1,b,yes
615,1,d,yes
616,1,c,yes
617,4,d,yes
618,1,d,no
619,1,d,yes
620,1,c,no
621,1,b,yes
622,1,a,yes
623,4,c,yes
624,1,d,yes
625,1,c,yes
626,5,b,yes
627,1,d,yes
628,2,c,yes
629,4,d,yes
630,1,d,yes
631,1,d,yes
632,1,c,yes
633,5,b,no
634,3,a,yes
635,1,c,no
636,5,d,yes
637,4,b,no
638,1,d,no
639,1,c,yes
640,1,c,yes
641,4,b,yes
642,5,b,yes
643,1,c,no
644,3,c,yes
645,1,d,yes
646,3,a,yes
647,1,d,no
648,5,c,yes
649,1,d,yes
650,2,c,no
651,4,d,yes
652,1,d,yes
653,1,d,yes
654,1,d,yes
655,5,c,yes
656,2,d,yes
657,1,b,yes
658,1,c,yes
659,4,a,yes
660,4,c,yes
661,5,d,yes
662,1,d,yes
663,1,d,no
664,1,c,no
665,1,c,yes
666,5,d,yes
667,1,b,yes
668,1,c,yes
669,1,d,yes
670,1,c,yes
671,5,b,yes
672,3,d,no
673,5,d,yes
674,1,b,yes
675,2,a,yes
676,1,d,yes
677,4,b,no
678,1,d,no
679,2,c,no
680,5,b,no
681,4,c,yes
682,5,c,yes
683,5,d,no
684,5,c,yes
685,1,d,no
686,5,b,yes
687,1,a,yes
688,1,b,yes
689,1,d,no
690,1,b,yes
691,1,b,yes
692,4,c,no
693,5,c,yes
694,4,c,no
695,4,d,no
696,1,d,yes
697,3,c,no
698,1,c,yes
699,1,b,no
700,1,d,no
701,1,d,yes
702,3,b,no
703,4,b,yes
704,4,c,yes
705,1,b,no
706,5,c,no
707,5,d,yes
708,3,c,no
709,1,c,no
710,1,d,no
711,1,c,yes
712,1,d,yes
713,5,b,yes
714,1,b,yes
715,1,c,yes
716,1,c,yes
717,5,b,yes
718,5,d,yes
719,1,a,yes
720,3,d,yes
721,2,c,no
722,3,c,no
723,1,d,no
724,3,d,no
725,5,d,no
726,4,c,yes
727,1,b,yes
728,1,d,yes
729,1,c,yes
730,1,c,yes
731,4,c,no
732,1,c,yes
733,1,a,yes
734,5,c,no
735,1,c,yes
736,2,a,yes
737,4,d,yes
738,5,d,yes
739,1,d,yes
740,5,b,no
741,5,d,no
742,4,b,yes
743,2,b,yes
744,5,d,yes
745,1,b,yes
746,1,c,yes
747,5,d,no
748,1,b,yes
749,4,d,yes
750,1,c,yes
751,1,c,yes
752,1,c,yes
753,1,d,yes
754,5,b,yes
755,5,d,yes
756,1,b,yes
757,1,d,no
758,1,c,no
759,5,b,no
760,1,a,yes
761,3,c,no
762,2,c,yes
763,4,b,yes
764,1,d,yes
765,5,a,yes
766,5,c,yes
767,5,b,yes
768,2,c,yes
769,4,c,yes
770,1,d,yes
771,5,a,no
772,1,d,yes
773,1,d,no
774,1,b,no
775,1,c,yes
776,1,b,no
777,5,c,no
778,4,c,no
779,4,b,no
780,4,c,yes
781,5,d,yes
782,1,d,no
783,2,d,yes
784,1,d,no
785,1,b,yes
786,4,d,yes
787,5,b,yes
788,4,d,no
789,1,a,no
790,1,d,yes
791,1,b,yes
792,1,c,no
793,1,d,yes
794,4,c,yes
795,5,d,yes
796,1,d,no
797,5,a,yes
798,3,b,yes
799,1,b,yes
800,5,c,yes
801,4,c,yes
802,5,d,yes
803,4,c,yes
804,1,d,yes
805,2,b,yes
806,1,d,yes
807,1,c,no
808,2,d,no
809,1,d,yes
810,1,d,no
811,4,c,no
812,1,b,yes
813,1,b,yes
814,1,d,yes
815,4,c,yes
816,1,c,yes
817,1,d,yes
818,5,b,no
819,1,d,yes
820,3,c,yes
821,4,b,yes
822,5,d,yes
823,2,a,no
824,4,c,no
825,5,d,no
826,4,d,yes
827,2,d,yes
828,4,d,no
829,1,c,yes
830,1,d,no
831,1,d,yes
832,3,c,yes
833,1,b,no
834,4,d,no
835,5,d,no
836,1,a,yes
837,5,c,yes
838,3,b,no
839,3,d,yes
840,1,c,yes
841,1,b,no
842,1,c,yes
843,4,d,yes
844,1,d,no
845,1,c,yes
846,1,d,yes
847,1,c,yes
848,2,d,yes
849,1,a,yes
850,5,d,no
851,3,d,yes
852,1,b,yes
853,3,d,yes
854,4,d,yes
855,1,d,no
856,5,d,no
857,2,c,yes
858,4,d,yes
859,1,c,yes
860,2,a,yes
861,1,b,yes
862,1,c,yes
863,2,b,yes
864,1,d,yes
865,1,d,no
866,1,b,yes
867,5,b,yes
868,5,c,yes
869,5,c,yes
870,3,b,yes
871,1,c,no
872,4,d,yes
873,1,c,yes
874,4,c,yes
875,5,d,yes
876,5,c,yes
877,5,c,yes
878,2,b,yes
879,1,b,yes
880,1,d,no
881,1,b,yes
882,3,d,yes
883,1,b,no
884,5,d,yes
885,3,b,no
886,3,c,yes
887,1,c,no
888,1,c,yes
889,4,c,no
890,3,c,no
891,1,d,yes
892,1,d,yes
893,1,b,yes
894,1,d,yes
895,3,d,yes
896,1,d,yes
897,1,b,yes
898,4,c,yes
899,1,d,yes
900,1,b,yes
901,5,c,yes
902,4,d,yes
903,5,c,yes
904,1,b,yes
905,1,d,yes
906,2,a,no
907,1,d,yes
908,1,c,no
909,3,c,yes
910,4,a,yes
911,4,c,no
912,1,d,yes
913,5,c,no
914,1,d,no
915,3,b,yes
916,1,d,yes
917,1,a,no
918,1,d,yes
919,5,a,yes
920,5,c,no
921,5,b,no
922,1,d,yes
923,1,c,yes
924,5,c,no
925,2,d,yes
926,1,d,no
927,1,d,yes
928,1,d,yes
929,5,a,no
930,1,b,no
931,5,b,yes
932,5,a,yes
933,1,d,yes
934,4,c,no
935,2,b,no
936,4,c,no
937,5,d,yes
938,1,b,no
939,1,c,no
940,5,d,yes
941,5,c,yes
942,4,a,yes
943,5,d,yes
944,5,d,no
945,1,d,yes
946,1,d,yes
947,1,d,yes
948,1,a,no
949,1,b,no
950,1,b,yes
951,2,d,yes
952,3,d,yes
953,4,b,no
954,1,c,no
955,1,d,yes
956,5,d,yes
957,5,b,yes
958,5,d,yes
959,5,b,yes
960,1,d,yes
961,4,a,yes
962,4,a,yes
963,4,a,no
964,4,d,no
965,2,c,yes
966,1,d,yes
967,1,d,no
968,1,d,no
969,1,d,yes
970,4,d,no
971,1,b,no
972,1,c,yes
973,1,d,no
974,1,a,no
975,1,d,yes
976,5,b,yes
977,4,a,yes
978,1,c,yes
979,1,d,yes
980,1,b,yes
981,1,c,no
982,1,c,no
983,1,d,no
984,5,d,no
985,1,d,no
986,1,d,yes
987,1,c,yes
988,5,d,yes
989,3,a,no
990,5,a,yes
991,1,d,yes
992,4,c,no
993,5,c,yes
994,4,d,no
995,1,a,no
996,1,b,yes
997,1,c,yes
998,4,d,no
999,4,c,no
1000,1,c,no
1001,1,d,yes
1002,5,c,yes
1003,1,c,no
1004,5,c,no
1005,3,d,yes
1006,1,d,no
1007,1,c,yes
1008,4,c,no
1009,1,d,no
1010,5,d,yes
1011,1,c,no
1012,5,c,no
1013,1,a,yes
1014,4,d,yes
1015,2,d,no
1016,1,d,no
1017,4,a,yes
1018,2,d,yes
1019,5,d,no
1020,5,c,yes
1021,5,c,no
1022,2,b,no
1023,1,c,no
1024,2,d,yes
1025,1,d,no
1026,4,b,no
1027,1,c,no
1028,1,b,yes
1029,5,b,yes
1030,4,b,yes
1031,2,b,yes
1032,5,b,yes
1033,1,a,yes
1034,1,d,no
1035,5,d,yes
1036,4,d,yes
1037,5,b,yes
1038,2,c,yes
1039,3,d,yes
1040,1,b,no
1041,1,c,yes
1042,1,c,yes
1043,1,a,yes
1044,5,c,yes
1045,1,c,yes
1046,1,d,no
1047,1,d,yes
1048,3,c,yes
1049,1,d,yes
1050,5,c,yes
1051,1,d,no
1052,5,c,yes
1053,1,d,yes
1054,1,c,yes
1055,5,d,yes
1056,1,d,no
1057,1,c,yes
1058,1,c,yes
1059,1,a,yes
1060,4,d,yes
1061,1,a,yes
1062,1,a,yes
1063,4,c,yes
1064,3,b,yes
1065,1,a,no
1066,1,b,yes
1067,4,d,yes
1068,1,c,yes
1069,1,b,yes
1070,2,b,yes
1071,1,d,no
1072,1,d,yes
1073,4,b,no
1074,1,d,yes
1075,1,d,yes
1076,1,b,yes
1077,5,c,yes
1078,1,c,no
1079,1,b,yes
1080,1,b,yes
1081,4,c,yes
1082,1,d,yes
1083,5,d,no
1084,5,a,yes
1085,1,d,yes
1086,1,c,no
1087,4,b,yes
1088,1,b,yes
1089,1,b,yes
1090,3,c,no
1091,3,b,no
1092,5,b,yes
1093,5,c,no
1094,5,b,yes
1095,1,c,yes
1096,1,d,yes
1097,4,d,yes
1098,5,b,yes
1099,1,d,yes
1100,4,a,yes
1101,4,d,no
1102,1,c,yes
1103,1,c,no
1104,1,d,yes
1105,1,d,yes
1106,5,a,yes
1107,4,c,yes
1108,1,d,yes
1109,3,c,yes
1110,3,a,yes
1111,5,c,yes
1112,1,c,yes
1113,3,d,no
1114,4,d,yes
1115,4,d,yes
1116,4,c,no
1117,2,c,no
1118,4,c,no
1119,2,d,yes
1120,5,c,yes
1121,5,d,yes
1122,3,b,no
1123,1,d,yes
1124,3,d,yes
1125,1,c,yes
1126,1,c,yes
1127,2,b,no
1128,1,d,no
1129,1,d,yes
1130,4,d,no
1131,1,b,yes
1132,5,d,yes
1133,4,b,yes
1134,1,b,no
1135,5,c,yes
1136,2,b,yes
1137,4,c,yes
1138,3,d,yes
1139,1,d,yes
1140,5,d,yes
1141,1,d,yes
1142,4,c,yes
1143,3,c,yes
1144,1,d,yes
1145,1,c,no
1146,3,c,yes
1147,4,c,yes
1148,1,c,no
1149,2,d,yes
1150,1,c,yes
1151,1,d,no
1152,1,c,yes
1153,1,d,no
1154,5,a,no
1155,1,c,yes
1156,1,c,no
1157,5,d,no
1158,1,c,no
1159,1,d,no
1160,1,a,yes
1161,1,c,yes
1162,1,b,no
1163,4,c,no
1164,3,d,yes
1165,1,d,yes
1166,4,d,no
1167,1,d,no
1168,1,a,yes
1169,5,c,yes
1170,3,c,yes
1171,5,d,no
1172,1,c,no
1173,1,d,yes
1174,1,c,yes
1175,1,b,no
1176,5,d,no
1177,1,c,yes
1178,2,b,no
1179,1,c,yes
1180,5,d,yes
1181,5,d,yes
1182,1,c,no
1183,5,b,no
1184,1,c,yes
1185,1,c,yes
1186,1,c,yes
1187,1,d,no
1188,1,d,yes
1189,1,c,no
1190,5,d,yes
1191,5,d,yes
1192,3,d,no
1193,5,a,no
1194,1,c,yes
1195,4,d,yes
1196,1,c,yes
1197,4,c,yes
1198,1,d,yes
1199,1,d,no
1200,5,d,yes
1201,3,a,no
1202,3,a,no
1203,1,c,yes
1204,3,b,yes
1205,5,d,no
1206,4,c,yes
1207,3,c,no
1208,1,a,no
1209,1,b,no
1210,2,d,no
1211,1,a,no
1212,3,c,yes
1213,1,c,no
1214,5,d,yes
1215,1,d,yes
1216,5,b,yes
1217,1,b,no
1218,1,b,yes
1219,1,a,yes
1220,5,d,yes
1221,4,d,no
1222,5,d,no
1223,4,b,yes
1224,1,c,no
1225,1,b,yes
1226,1,d,yes
1227,1,d,yes
1228,5,d,yes
1229,1,d,no
1230,5,d,yes
1231,5,d,yes
1232,1,b,yes
1233,4,b,yes
1234,3,d,yes
1235,1,c,yes
1236,4,c,no
1237,1,d,no
1238,1,c,yes
1239,1,d,yes
1240,5,a,yes
1241,5,b,yes
1242,1,d,no
1243,5,d,yes
1244,1,c,yes
1245,5,b,yes
1246,2,c,yes
1247,1,c,yes
1248,1,c,yes
1249,1,a,no
1250,1,d,no
1251,5,d,no
1252,1,c,no
1253,5,c,no
1254,5,d,no
1255,4,b,yes
1256,4,b,no
1257,5,c,yes
1258,1,d,yes
1259,2,b,no
1260,1,b,yes
1261,4,b,yes
1262,1,c,yes
1263,1,b,yes
1264,1,d,yes
1265,5,d,no
1266,4,d,yes
1267,1,d,no
1268,1,a,no
1269,4,b,yes
1270,5,a,yes
1271,1,b,yes
1272,1,b,yes
1273,1,d,no
1274,4,c,no
1275,1,d,yes
1276,5,c,yes
1277,1,a,no
1278,5,a,no
1279,5,d,yes
1280,1,b,yes
1281,4,c,yes
1282,1,d,yes
1283,5,c,no
1284,4,d,no
1285,1,d,yes
1286,1,c,yes
1287,5,d,no
1288,5,d,no
1289,1,a,yes
1290,5,d,yes
1291,4,d,yes
1292,5,a,yes
1293,1,c,yes
1294,4,d,yes
1295,1,c,no
1296,1,d,no
1297,5,d,yes
1298,1,c,yes
1299,2,b,yes
1300,1,d,no
1301,1,b,no
1302,5,b,yes
1303,4,d,no
1304,1,c,yes
1305,5,b,yes
1306,1,d,yes
1307,4,c,yes
1308,3,c,no
1309,1,c,no
1310,1,c,no
1311,1,d,yes
1312,3,c,yes
1313,5,c,yes
1314,2,b,yes
1315,1,c,yes
1316,4,c,no
1317,3,d,yes
1318,4,d,yes
1319,2,c,yes
1320,4,b,yes
1321,1,d,no
1322,1,d,yes
1323,1,d,yes
1324,3,d,yes
1325,1,a,yes
1326,3,c,yes
1327,1,b,yes
1328,1,d,yes
1329,1,a,yes
1330,1,c,yes
1331,1,d,no
1332,1,d,yes
1333,1,d,yes
1334,5,b,yes
1335,3,a,yes
1336,5,b,yes
1337,3,b,no
1338,3,d,yes
1339,1,d,no
1340,2,d,yes
1341,5,b,yes
1342,3,c,no
1343,5,c,yes
1344,5,d,no
1345,5,b,yes
1346,4,b,yes
1347,5,c,yes
1348,1,d,yes
1349,1,d,yes
1350,5,c,yes
1351,1,d,yes
1352,4,d,no
1353,5,d,no
1354,5,d,yes
1355,4,d,yes
1356,1,c,no
1357,1,d,no
1358,5,d,yes
1359,2,a,no
1360,2,a,yes
1361,5,b,yes
1362,5,a,yes
1363,1,d,yes
1364,4,b,no
1365,2,a,yes
1366,5,c,yes
1367,1,c,no
1368,1,d,yes
1369,1,d,yes
1370,1,c,yes
1371,1,c,yes
1372,5,b,yes
1373,5,c,yes
1374,4,a,yes
1375,1,d,yes
1376,3,d,yes
1377,5,c,yes
1378,1,c,yes
1379,1,a,no
1380,2,d,yes
1381,4,c,no
1382,2,d,no
1383,4,d,yes
1384,3,a,yes
1385,1,d,yes
1386,1,d,yes
1387,2,c,no
1388,1,d,yes
1389,1,a,no
1390,1,a,yes
1391,3,b,yes
1392,1,c,yes
1393,1,b,yes
1394,1,d,no
1395,5,a,yes
1396,2,c,yes
1397,1,c,yes
1398,4,b,yes
1399,5,c,yes
1400,1,b,yes
1401,5,b,no
1402,1,c,no
1403,1,d,yes
1404,1,c,yes
1405,1,b,no
1406,1,d,no
1407,1,c,no
1408,4,d,yes
1409,4,b,no
1410,4,b,no
1411,4,b,yes
1412,5,a,yes
1413,1,b,no
1414,1,d,no
1415,2,d,yes
1416,1,d,yes
1417,1,c,yes
1418,4,d,yes
1419,1,b,no
1420,1,d,yes
1421,1,d,no
1422,5,c,yes
1423,5,d,no
1424,4,b,yes
1425,1,c,yes
1426,5,c,yes
1427,4,d,no
1428,4,d,no
1429,1,d,yes
1430,4,a,yes
1431,1,d,yes
1432,4,b,no
1433,1,c,no
1434,3,d,yes
1435,1,c,yes
1436,1,b,no
1437,5,b,no
1438,1,b,yes
1439,1,b,no
1440,5,c,no
1441,3,a,yes
1442,5,c,yes
1443,3,d,no
1444,5,c,no
1445,1,c,yes
1446,4,d,yes
1447,1,b,no
1448,3,d,yes
1449,1,b,no
1450,1,c,yes
1451,1,a,no
1452,1,d,yes
1453,5,d,yes
1454,2,d,yes
1455,1,c,yes
1456,1,d,yes
1457,2,c,yes
1458,5,c,no
1459,1,c,yes
1460,1,b,no
1461,1,d,yes
1462,1,c,no
1463,3,c,no
1464,5,d,yes
1465,5,c,no
1466,1,c,no
1467,1,c,yes
1468,1,b,yes
1469,1,c,yes
1470,3,d,yes
1471,1,d,yes
1472,5,c,no
1473,1,b,yes
1474,2,a,yes
1475,1,c,no
1476,5,c,no
1477,1,c,yes
1478,1,d,no
1479,1,d,yes
1480,4,c,yes
1481,1,d,yes
1482,5,d,yes
1483,1,d,no
1484,1,d,yes
1485,1,d,yes
1486,2,d,yes
1487,4,d,no
1488,3,d,yes
1489,1,c,yes
1490,1,d,yes
1491,1,d,yes
1492,1,d,yes
1493,1,b,no
1494,1,c,yes
1495,1,b,no
1496,1,d,no
1497,4,c,yes
1498,4,b,no
1499,1,a,no
1500,5,c,yes
1501,1,d,no
1502,1,d,no
1503,5,b,yes
1504,1,d,yes
1505,3,c,yes
1506,4,d,yes
1507,1,c,yes
1508,1,d,no
1509,1,c,no
1510,3,d,yes
1511,1,d,yes
1512,1,d,yes
1513,1,c,no
1514,1,d,yes
1515,1,d,yes
1516,1,d,no
1517,3,d,yes
1518,1,c,yes
1519,5,d,yes
1520,3,a,yes
1521,4,c,no
1522,1,c,yes
1523,1,a,no
1524,4,a,yes
1525,1,d,yes
1526,5,c,yes
1527,3,b,no
1528,1,d,no
1529,1,d,yes
1530,1,d,yes
1531,5,c,yes
1532,1,b,no
1533,1,a,no
1534,1,d,yes
1535,1,d,no
1536,1,a,yes
1537,1,a,yes
1538,5,d,yes
1539,1,d,no
1540,1,b,yes
1541,1,d,no
1542,3,c,yes
1543,5,d,yes
1544,1,d,no
1545,5,b,no
1546,1,c,yes
